Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2017-01-03,31.024667739868164,31.309297561645508,30.920303344726562,31.309297561645508,25.928756713867188,23391844,
2017-01-04,31.43263816833496,31.64136505126953,31.33776092529297,31.584440231323242,26.156612396240234,22753963,0.008787759663431371
2017-01-05,31.660341262817383,31.963947296142578,31.42314910888672,31.888046264648438,26.408042907714844,21083584,0.009612502860299577
2017-01-06,31.935483932495117,31.973434448242188,31.631879806518555,31.764705657958984,26.3059024810791,18418228,-0.0038677772144145584
2017-01-09,31.717267990112305,31.944971084594727,31.669828414916992,31.755218505859375,26.298046112060547,21559886,-0.00029865422880681614
2017-01-10,31.869070053100586,31.935483932495117,31.612903594970703,31.726755142211914,26.27447509765625,20444754,-0.000896302877554378
2017-01-11,31.660341262817383,31.821632385253906,30.74003791809082,31.148008346557617,25.795181274414062,42623128,-0.0182418039355976
2017-01-12,30.863378524780273,30.948766708374023,30.645160675048828,30.929790496826172,25.614469528198242,33475989,-0.007005639708183242
2017-01-13,30.996204376220703,31.100568771362305,30.67362403869629,30.85388946533203,25.551610946655273,21386925,-0.002454026286734856
2017-01-17,30.69260025024414,30.7210636138916,30.15180206298828,30.417457580566406,25.190183639526367,33838143,-0.014144991009900187
2017-01-18,30.445920944213867,30.62618637084961,30.313093185424805,30.388994216918945,25.166606903076172,22629064,-0.0009359493677212338
2017-01-19,30.417457580566406,30.445920944213867,29.91461181640625,30.07590103149414,24.90731430053711,27555881,-0.010303041786192013
2017-01-20,30.094877243041992,30.474382400512695,30.03795051574707,30.142314910888672,24.962322235107422,31788324,0.0022085052569928987
2017-01-23,30.056926727294922,30.18975257873535,29.829221725463867,29.84819793701172,24.718746185302734,26098094,-0.009757747997584887
2017-01-24,29.791271209716797,29.84819793701172,29.3168888092041,29.554079055786133,24.475177764892578,31225172,-0.009853591221183233
2017-01-25,29.753320693969727,29.905122756958008,29.506641387939453,29.686906814575195,24.585174560546875,33905283,0.00449421845720277
2017-01-26,29.791271209716797,29.857685089111328,29.601518630981445,29.677419662475586,24.577316284179688,28653517,-0.0003196347598767302
2017-01-27,29.857685089111328,29.92409896850586,29.658443450927734,29.81024742126465,24.68732261657715,25353654,0.004475929394629263
2017-01-30,29.857685089111328,29.88614845275879,29.468690872192383,29.705881118774414,24.60088539123535,28947899,-0.0035012798546147916
2017-01-31,29.42125129699707,30.294118881225586,29.34535026550293,30.1043643951416,24.93089485168457,39472300,0.013414535907996017
