Date,neg,neu,pos,compound
2017-11-09,0.048,0.952,0.0,-0.2263
2017-11-10,0.043000000000000003,0.8846666666666666,0.072,0.14593333333333333
2017-11-13,0.0,0.719,0.281,0.9136
2017-11-14,0.0,0.898,0.102,0.3612
2017-11-15,0.0,0.944,0.056,0.4939
2017-11-16,0.1885,0.6759999999999999,0.1355,-0.4217
2017-11-17,0.02,0.885,0.095,0.41000000000000003
2017-11-20,0.126,0.6983333333333333,0.17566666666666667,0.2521
2017-11-24,0.0,0.771,0.229,0.875
2017-11-27,0.085,0.865,0.05,-0.2263
2017-11-29,0.039,0.816,0.144,0.8016
2017-11-30,0.119,0.881,0.0,-0.4767
2017-12-01,0.08633333333333333,0.7603333333333332,0.15333333333333332,0.31980000000000003
2017-12-04,0.0,0.928,0.072,0.34
2017-12-05,0.0,0.932,0.068,0.3612
2017-12-06,0.122,0.7669999999999999,0.111,-0.16325
2017-12-08,0.08750000000000001,0.80375,0.10875,0.1152
2017-12-12,0.029,0.837,0.134,0.29825
2017-12-13,0.0,0.9345,0.0655,0.35015
2017-12-15,0.149,0.688,0.163,0.0372
2017-12-18,0.0,1.0,0.0,0.0
2017-12-20,0.0,0.745,0.255,0.8836999999999999
2017-12-22,0.243,0.612,0.145,-0.7783
2017-12-29,0.024,0.976,0.0,-0.23835
2018-01-02,0.0325,0.794,0.1735,0.56535
2018-01-03,0.064,0.867,0.069,0.0516
2018-01-04,0.0,0.912,0.088,0.5255
2018-01-05,0.0,0.8340000000000001,0.16599999999999998,0.73865
2018-01-10,0.0,0.883,0.117,0.743
2018-01-16,0.024,0.917,0.059,0.4588
2018-01-17,0.0,0.702,0.298,0.7951
2018-01-18,0.175,0.772,0.053,-0.7004
2018-01-19,0.051,0.767,0.182,0.7992
2018-01-22,0.11233333333333333,0.6683333333333333,0.219,0.3436333333333333
2018-01-23,0.0,0.934,0.066,0.3818
2018-01-25,0.0,0.981,0.019,0.064
2018-01-26,0.0,0.9345,0.0655,0.369775
2018-01-29,0.095,0.775,0.13,0.6124
2018-01-30,0.06,0.815,0.124,0.3612
2018-02-02,0.044,0.881,0.075,0.25
2018-02-07,0.13,0.725,0.145,0.128
2018-02-08,0.0,0.637,0.363,0.9597
2018-02-12,0.0,1.0,0.0,0.0
2018-02-13,0.0,0.662,0.338,0.9231
2018-02-14,0.108,0.892,0.0,-0.5378
2018-02-16,0.039,0.873,0.087,0.51
2018-02-23,0.0,0.9804999999999999,0.0195,0.1591
2018-02-26,0.181,0.819,0.0,-0.8074
